DEPARTMENT_ID,DEPARTMENT_NAME,BRANCH_ID
D001,Nhân viên giao hàng,B001
D002,Lễ tân,B001
D003,Thu ngân,B001
D004,Đầu bếp,B001
D005,Phụ bếp,B001
D006,Phục vụ bàn,B001
D007,Quản lý chi nhánh,B001
D008,Nhân viên giao hàng,B002
D009,Lễ tân,B002
D010,Thu ngân,B002
D011,Đầu bếp,B002
D012,Phụ bếp,B002
D013,Phục vụ bàn,B002
D014,Quản lý chi nhánh,B002
D015,Nhân viên giao hàng,B003
D016,Lễ tân,B003
D017,Thu ngân,B003
D018,Đầu bếp,B003
D019,Phụ bếp,B003
D020,Phục vụ bàn,B003
D021,Quản lý chi nhánh,B003
D022,Nhân viên giao hàng,B004
D023,Lễ tân,B004
D024,Thu ngân,B004
D025,Đầu bếp,B004
D026,Phụ bếp,B004
D027,Phục vụ bàn,B004
D028,Quản lý chi nhánh,B004
D029,Nhân viên giao hàng,B005
D030,Lễ tân,B005
D031,Thu ngân,B005
D032,Đầu bếp,B005
D033,Phụ bếp,B005
D034,Phục vụ bàn,B005
D035,Quản lý chi nhánh,B005
D036,Nhân viên giao hàng,B006
D037,Lễ tân,B006
D038,Thu ngân,B006
D039,Đầu bếp,B006
D040,Phụ bếp,B006
D041,Phục vụ bàn,B006
D042,Quản lý chi nhánh,B006
D043,Nhân viên giao hàng,B007
D044,Lễ tân,B007
D045,Thu ngân,B007
D046,Đầu bếp,B007
D047,Phụ bếp,B007
D048,Phục vụ bàn,B007
D049,Quản lý chi nhánh,B007
D050,Nhân viên giao hàng,B008
D051,Lễ tân,B008
D052,Thu ngân,B008
D053,Đầu bếp,B008
D054,Phụ bếp,B008
D055,Phục vụ bàn,B008
D056,Quản lý chi nhánh,B008
D057,Nhân viên giao hàng,B009
D058,Lễ tân,B009
D059,Thu ngân,B009
D060,Đầu bếp,B009
D061,Phụ bếp,B009
D062,Phục vụ bàn,B009
D063,Quản lý chi nhánh,B009
D064,Nhân viên giao hàng,B010
D065,Lễ tân,B010
D066,Thu ngân,B010
D067,Đầu bếp,B010
D068,Phụ bếp,B010
D069,Phục vụ bàn,B010
D070,Quản lý chi nhánh,B010
D071,Nhân viên giao hàng,B011
D072,Lễ tân,B011
D073,Thu ngân,B011
D074,Đầu bếp,B011
D075,Phụ bếp,B011
D076,Phục vụ bàn,B011
D077,Quản lý chi nhánh,B011
D078,Nhân viên giao hàng,B012
D079,Lễ tân,B012
D080,Thu ngân,B012
D081,Đầu bếp,B012
D082,Phụ bếp,B012
D083,Phục vụ bàn,B012
D084,Quản lý chi nhánh,B012
D085,Nhân viên giao hàng,B013
D086,Lễ tân,B013
D087,Thu ngân,B013
D088,Đầu bếp,B013
D089,Phụ bếp,B013
D090,Phục vụ bàn,B013
D091,Quản lý chi nhánh,B013
D092,Nhân viên giao hàng,B014
D093,Lễ tân,B014
D094,Thu ngân,B014
D095,Đầu bếp,B014
D096,Phụ bếp,B014
D097,Phục vụ bàn,B014
D098,Quản lý chi nhánh,B014
D099,Nhân viên giao hàng,B015
D100,Lễ tân,B015
D101,Thu ngân,B015
D102,Đầu bếp,B015
D103,Phụ bếp,B015
D104,Phục vụ bàn,B015
D105,Quản lý chi nhánh,B015
